"first_min, дел","first_max, дел","zero, дел","V_накала, V","дел_x, В","дел_y, mV","R, Ком",I_a,V_k,,V_накала_статика,сдвиг по аноду,сдвиш по напряжению,I_a_2,V_k_2,
3,"12,5",20,"3,336",2,20,100,"-0,05","0,075","-0,05","2,745","-0,05","0,01","-0,04","0,024","-0,04"
0,"13,5",20,"2,72",2,5,,"-0,05","0,445","-0,05",,,,"-0,03","0,778","-0,03"
,,,,,,,"-0,04","0,767","-0,04",,,,"1,5","1,462","1,5"
,,,,,,,"-0,04","1,096","-0,04",,,,"3,05","1,55","3,05"
,,,,,,,"0,22","1,505","0,22",,,,"3,69","1,57","3,69"
,,,,,,,"0,75","1,62","0,75",,,,"4,53","1,597","4,53"
,,,,,,,"1,35","1,681","1,35",,,,"7,7","1,66","7,7"
,,,,,,,"2,31","1,741","2,31",,,,"27,07","1,852","27,07"
,,,,,,,"5,45","1,845","5,45",,,,"82,8","2,308","82,8"
,,,,,,,"13,09","1,999","13,09",,,,"92,52","2,836","92,52"
,,,,,,,"16,23","2,06","16,23",,,,92,"3,723",92
,,,,,,,"21,9","2,184","21,9",,,,"92,64","4,276","92,64"
,,,,,,,"25,68","2,312","25,68",,,,"92,75","4,785","92,75"
,,,,,,,"21,88","2,984","21,88",,,,"92,3","5,25","92,3"
,,,,,,,"20,51","3,133","20,51",,,,"91,55","6,415","91,55"
,,,,,,,"19,16","3,322","19,16",,,,"93,53","7,513","93,53"
,,,,,,,"17,84","3,621","17,84",,,,"98,11","8,206","98,11"
,,,,,,,"17,3","3,805","17,3",,,,"108,86","8,964","108,86"
,,,,,,,"17,02","3,909","17,02",,,,"114,2","9,63","114,2"
,,,,,,,"16,43","4,116","16,43",,,,"119,4","10,02","119,4"
,,,,,,,"16,1","4,288","16,1",,,,,,
,,,,,,,"15,47","4,59","15,47",,,,,,
,,,,,,,"14,68","5,054","14,68",,,,,,
,,,,,,,"14,05","5,647","14,05",,,,,,
,,,,,,,"13,59","7,808","13,59",,,,,,
,,,,,,,"14,42","8,625","14,42",,,,,,
,,,,,,,"14,98","9,465","14,98",,,,,,
,,,,,,,"15,65","9,97","15,65",,,,,,
,,,,,,,"19,93","10,928","19,93",,,,,,
,,,,,,,"20,4","11,122","20,4",,,,,,
,,,,,,,"20,86","11,436","20,86",,,,,,
